用户ID,使用概况,安全状态,交易状态,风险对比,时间
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:18次/月
收款地址核对:3次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:0笔
长时间未确认交易:1笔
小额测试:4次
授权复核:2次",风险操作低于61%同类用户,2025-11
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:26次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:6次
授权复核:3次",风险操作低于63%同类用户,2025-12
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:12次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:4次
授权复核:2次",风险操作低于59%同类用户,2026-01
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:24次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:0笔
长时间未确认交易:0笔
小额测试:2次
授权复核:1次",授权复核频率处于同类前23%,2026-02
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:27次/月
收款地址核对:4次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:4次
授权复核:4次",备份完整度高于72%同类用户,2026-03
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:35次/月
收款地址核对:2次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:2笔
小额测试:3次
授权复核:0次",备份完整度高于68%同类用户,2026-04
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:13次/月
收款地址核对:16次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:2笔
小额测试:2次
授权复核:4次",风险操作低于82%同类用户,2026-05
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:28次/月
收款地址核对:11次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:0笔
长时间未确认交易:1笔
小额测试:2次
授权复核:4次",授权复核频率处于同类前10%,2026-06
1001,"设备型号:KeyGuard Mini
常用链:BTC, ETH
签名次数:27次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:3次
授权复核:2次",风险操作低于56%同类用户,2026-07
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:15次/月
收款地址核对:4次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:2笔
长时间未确认交易:1笔
小额测试:1次
授权复核:4次",风险操作低于59%同类用户,2025-01
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:29次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:5次
授权复核:3次",风险操作低于84%同类用户,2025-02
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:25次/月
收款地址核对:8次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:2笔
小额测试:6次
授权复核:2次",备份完整度高于83%同类用户,2025-03
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:24次/月
收款地址核对:16次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:1次
授权复核:2次",风险操作低于73%同类用户,2025-04
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:25次/月
收款地址核对:9次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:6次
授权复核:0次",风险操作低于57%同类用户,2025-05
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:9次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:2笔
长时间未确认交易:0笔
小额测试:3次
授权复核:3次",风险操作低于72%同类用户,2025-06
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:12次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:1笔
小额测试:2次
授权复核:0次",风险操作低于76%同类用户,2025-07
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:21次/月
收款地址核对:13次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:1笔
小额测试:6次
授权复核:0次",授权复核频率处于同类前30%,2025-08
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:28次/月
收款地址核对:5次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:3次
授权复核:0次",风险操作低于61%同类用户,2025-09
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:14次/月
收款地址核对:16次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:0笔
小额测试:3次
授权复核:3次",风险操作低于82%同类用户,2025-10
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:10次/月
收款地址核对:16次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:2笔
小额测试:5次
授权复核:0次",风险操作低于84%同类用户,2025-11
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:32次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:1笔
小额测试:4次
授权复核:1次",备份完整度高于83%同类用户,2025-12
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:9次/月
收款地址核对:7次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:0笔
长时间未确认交易:1笔
小额测试:3次
授权复核:3次",备份完整度高于68%同类用户,2026-01
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:30次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:1笔
小额测试:2次
授权复核:0次",授权复核频率处于同类前33%,2026-02
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:25次/月
收款地址核对:3次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:0笔
长时间未确认交易:0笔
小额测试:5次
授权复核:3次",授权复核频率处于同类前26%,2026-03
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:13次/月
收款地址核对:3次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:5次
授权复核:0次",授权复核频率处于同类前17%,2026-04
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:20次/月
收款地址核对:5次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:2笔
长时间未确认交易:2笔
小额测试:1次
授权复核:4次",风险操作低于68%同类用户,2026-05
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:29次/月
收款地址核对:18次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:0笔
小额测试:6次
授权复核:2次",风险操作低于63%同类用户,2026-06
1002,"设备型号:KeyGuard Pro
常用链:ETH, Polygon, Arbitrum
签名次数:20次/月
收款地址核对:6次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:1笔
小额测试:1次
授权复核:0次",备份完整度高于74%同类用户,2026-07
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:26次/月
收款地址核对:5次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:2笔
小额测试:3次
授权复核:1次",备份完整度高于83%同类用户,2025-01
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:10次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:2笔
长时间未确认交易:0笔
小额测试:4次
授权复核:4次",授权复核频率处于同类前19%,2025-02
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:27次/月
收款地址核对:18次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:2笔
长时间未确认交易:2笔
小额测试:1次
授权复核:1次",备份完整度高于58%同类用户,2025-03
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:11次/月
收款地址核对:6次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:2笔
长时间未确认交易:2笔
小额测试:2次
授权复核:2次",风险操作低于76%同类用户,2025-04
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:28次/月
收款地址核对:10次/月","固件状态:建议升级
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:2笔
长时间未确认交易:0笔
小额测试:1次
授权复核:3次",备份完整度高于56%同类用户,2025-05
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:8次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:2笔
长时间未确认交易:0笔
小额测试:6次
授权复核:3次",授权复核频率处于同类前32%,2025-06
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:21次/月
收款地址核对:2次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:0笔
长时间未确认交易:2笔
小额测试:2次
授权复核:4次",风险操作低于81%同类用户,2025-07
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:19次/月
收款地址核对:6次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:1笔
长时间未确认交易:0笔
小额测试:3次
授权复核:2次",风险操作低于83%同类用户,2025-08
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:19次/月
收款地址核对:8次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:0笔
长时间未确认交易:1笔
小额测试:5次
授权复核:3次",授权复核频率处于同类前33%,2025-09
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:12次/月
收款地址核对:9次/月","固件状态:建议升级
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:1笔
小额测试:1次
授权复核:1次",授权复核频率处于同类前20%,2025-10
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:33次/月
收款地址核对:15次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:2笔
长时间未确认交易:0笔
小额测试:6次
授权复核:0次",备份完整度高于82%同类用户,2025-11
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:9次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:1笔
小额测试:3次
授权复核:2次",风险操作低于62%同类用户,2025-12
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:8次/月
收款地址核对:8次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:2笔
长时间未确认交易:1笔
小额测试:1次
授权复核:2次",备份完整度高于75%同类用户,2026-01
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:24次/月
收款地址核对:14次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:0笔
长时间未确认交易:0笔
小额测试:3次
授权复核:1次",授权复核频率处于同类前18%,2026-02
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:9次/月
收款地址核对:5次/月","固件状态:建议升级
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:2笔
长时间未确认交易:2笔
小额测试:3次
授权复核:3次",授权复核频率处于同类前26%,2026-03
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:11次/月
收款地址核对:14次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:2笔
长时间未确认交易:0笔
小额测试:6次
授权复核:3次",风险操作低于71%同类用户,2026-04
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:33次/月
收款地址核对:8次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:3笔
长时间未确认交易:0笔
小额测试:6次
授权复核:2次",授权复核频率处于同类前20%,2026-05
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:29次/月
收款地址核对:5次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:3个","失败交易:2笔
长时间未确认交易:2笔
小额测试:4次
授权复核:2次",备份完整度高于77%同类用户,2026-06
1003,"设备型号:KeyGuard Mini
常用链:USDT-TRC20, ETH
签名次数:17次/月
收款地址核对:6次/月","固件状态:已是最新版
助记词备份:未验证
Passphrase:未开启
高风险授权:2个","失败交易:3笔
长时间未确认交易:2笔
小额测试:4次
授权复核:1次",授权复核频率处于同类前28%,2026-07
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:17次/月
收款地址核对:14次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:2次
授权复核:3次",授权复核频率处于同类前29%,2025-01
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:28次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:1笔
小额测试:6次
授权复核:1次",授权复核频率处于同类前25%,2025-02
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:33次/月
收款地址核对:7次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:2笔
小额测试:6次
授权复核:4次",备份完整度高于57%同类用户,2025-03
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:34次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:2次
授权复核:0次",风险操作低于62%同类用户,2025-04
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:23次/月
收款地址核对:4次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:5次
授权复核:1次",授权复核频率处于同类前32%,2025-05
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:20次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:0笔
小额测试:6次
授权复核:0次",风险操作低于79%同类用户,2025-06
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:21次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:0笔
小额测试:5次
授权复核:1次",风险操作低于69%同类用户,2025-07
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:12次/月
收款地址核对:16次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:6次
授权复核:4次",备份完整度高于81%同类用户,2025-08
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:25次/月
收款地址核对:16次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:3次
授权复核:1次",授权复核频率处于同类前18%,2025-09
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:32次/月
收款地址核对:18次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:1笔
小额测试:4次
授权复核:0次",授权复核频率处于同类前19%,2025-10
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:15次/月
收款地址核对:10次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:1次
授权复核:1次",风险操作低于62%同类用户,2025-11
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:20次/月
收款地址核对:6次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:0笔
长时间未确认交易:1笔
小额测试:4次
授权复核:2次",授权复核频率处于同类前24%,2025-12
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:21次/月
收款地址核对:3次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:5次
授权复核:0次",授权复核频率处于同类前22%,2026-01
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:23次/月
收款地址核对:2次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:1笔
小额测试:4次
授权复核:4次",授权复核频率处于同类前33%,2026-02
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:25次/月
收款地址核对:9次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:1笔
小额测试:4次
授权复核:3次",风险操作低于67%同类用户,2026-03
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:18次/月
收款地址核对:14次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:0笔
小额测试:5次
授权复核:4次",风险操作低于84%同类用户,2026-04
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:20次/月
收款地址核对:2次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:0笔
小额测试:4次
授权复核:1次",风险操作低于63%同类用户,2026-05
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:20次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:0个","失败交易:1笔
长时间未确认交易:1笔
小额测试:3次
授权复核:3次",备份完整度高于79%同类用户,2026-06
1004,"设备型号:KeyGuard Max
常用链:BTC, ETH, SOL
签名次数:34次/月
收款地址核对:15次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:1笔
小额测试:1次
授权复核:4次",风险操作低于85%同类用户,2026-07
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:19次/月
收款地址核对:9次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:2笔
长时间未确认交易:0笔
小额测试:1次
授权复核:1次",风险操作低于81%同类用户,2025-01
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:8次/月
收款地址核对:6次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:1笔
小额测试:6次
授权复核:0次",授权复核频率处于同类前16%,2025-02
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:22次/月
收款地址核对:10次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:0笔
长时间未确认交易:2笔
小额测试:5次
授权复核:0次",风险操作低于85%同类用户,2025-03
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:17次/月
收款地址核对:5次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:2笔
小额测试:6次
授权复核:3次",备份完整度高于85%同类用户,2025-04
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:30次/月
收款地址核对:8次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:2笔
长时间未确认交易:2笔
小额测试:6次
授权复核:1次",风险操作低于77%同类用户,2025-05
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:32次/月
收款地址核对:11次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:2笔
长时间未确认交易:0笔
小额测试:3次
授权复核:4次",备份完整度高于76%同类用户,2025-06
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:19次/月
收款地址核对:4次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:0笔
长时间未确认交易:1笔
小额测试:4次
授权复核:0次",备份完整度高于85%同类用户,2025-07
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:19次/月
收款地址核对:16次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:0笔
小额测试:6次
授权复核:4次",授权复核频率处于同类前18%,2025-08
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:27次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:2笔
小额测试:5次
授权复核:2次",备份完整度高于82%同类用户,2025-09
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:15次/月
收款地址核对:4次/月","固件状态:建议升级
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:0笔
小额测试:4次
授权复核:4次",授权复核频率处于同类前31%,2025-10
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:20次/月
收款地址核对:12次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:1笔
长时间未确认交易:1笔
小额测试:2次
授权复核:3次",风险操作低于66%同类用户,2025-11
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:33次/月
收款地址核对:10次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:2笔
小额测试:6次
授权复核:2次",授权复核频率处于同类前10%,2025-12
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:24次/月
收款地址核对:8次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:1个","失败交易:0笔
长时间未确认交易:2笔
小额测试:4次
授权复核:3次",授权复核频率处于同类前34%,2026-01
1005,"设备型号:KeyGuard Pro
常用链:ETH, BTC, SOL
签名次数:15次/月
收款地址核对:17次/月","固件状态:已是最新版
助记词备份:已验证
Passphrase:已开启
高风险授权:2个","失败交易:1笔
长时间未确认交易:0笔
小额测试:1次
授权复核:2次",风险操作低于67%同类用户,2026-02
